experiment_id	venue	number_of_data	prompt_type	model	temperature	max_tokens	note	
20241031_170127	emnlp23	50	i	gpt-4o	1	2048	sentence
20241031_170900	iclr20	50	i	gpt-4o	1	2048	sentence
20241031_171856	iclr21	50	i	gpt-4o	1	2048	sentence
20241101_133021	iclr22	50	i	gpt-4o	1	2048	sentence
20241101_134124	iclr23	50	i	gpt-4o	1	2048	sentence
20241101_135048	iclr24	50	i	gpt-4o	1	2048	sentence
20241112_145552	iclr22	50	i	gpt-4o	0	2048	sentence
20241112_150753	iclr23	50	i	gpt-4o	0	2048	sentence
20241112_151726	iclr24	50	i	gpt-4o	0	2048	sentence
20241112_155432	emnlp23	50	i	gpt-4o	0	2048	sentence
20241112_160209	iclr20	50	i	gpt-4o	0	2048	sentence
20241112_161146	iclr21	50	i	gpt-4o	0	2048	sentence
20241112_162626	nlpeer	50	i	gpt-4o	0	2048	sentence
20241113_110509	nlpeer	50	i	gpt-4o	1	2048	sentence
20241120_112511	emnlp23	50	i2	gpt-4o	0	2048	sentence
20241120_113239	iclr20	50	i2	gpt-4o	0	2048	sentence
20241120_114128	iclr21	50	i2	gpt-4o	0	2048	sentence
20241120_115355	iclr22	50	i2	gpt-4o	0	2048	sentence
20241120_120458	iclr23	50	i2	gpt-4o	0	2048	sentence
20241120_121426	iclr24	50	i2	gpt-4o	0	2048	sentence
20241120_122352	nlpeer	50	i2	gpt-4o	0	2048	sentence
20241120_163437	emnlp23	50	i2	gpt-4o	1	2048	sentence
20241120_164210	iclr20	50	i2	gpt-4o	1	2048	sentence
20241120_165112	iclr21	50	i2	gpt-4o	1	2048	sentence
20241120_170302	iclr22	50	i2	gpt-4o	1	2048	sentence
20241120_171413	iclr23	50	i2	gpt-4o	1	2048	sentence
20241120_172355	iclr24	49	i2	gpt-4o	1	2048	sentence
20241120_173323	nlpeer	49	i2	gpt-4o	1	2048	sentence
