run_id	source	number_of_data	type_of_labels	metric	correctness_at_1	correctness_at_2
20241128_114413	llm_generated_reviews_emnlp23_liang24	100	2-ACL'18	jaccard	0.52	0.74
20241126_111243	ReviewCritique	20	2-ACL'18	jaccard	0.4	0.8
20241126_110806	llm_generated_reviews_emnlp23_ours	100	2-ACL'18	jaccard	0.65	0.86
-	llm_generated_reviews_emnlp23_ours	100	1-SBERT	sbert	0.58	0.74
-	ReviewCritique	20	1-SBERT	sbert	0.35	0.8
-	llm_generated_reviews_emnlp23_liang24	100	1-SBERT	sbert	0.52	0.67
20241227_225515	llm_generated_reviews_iclr24_ours	100	2-ACL'18	jaccard	0.47	0.78
20241227_230139	llm_generated_reviews_iclr24_liang24	100	2-ACL'18	jaccard	0.45	0.7
-	llm_generated_reviews_iclr24_ours	100	1-SBERT	sbert	0.52	0.67
-	llm_generated_reviews_iclr24_liang24	100	1-SBERT	sbert	0.42	0.64
20250102_164905	ReviewCritique	20	3-coarse	jaccard	0.5	0.75
20250102_164925	llm_generated_reviews_emnlp23_liang24	100	3-coarse	jaccard	0.56	0.74
20250102_165002	llm_generated_reviews_emnlp23_ours	100	3-coarse	jaccard	0.52	0.72
20250102_165045	llm_generated_reviews_iclr24_liang24	100	3-coarse	jaccard	0.5	0.71
20250102_165143	llm_generated_reviews_iclr24_ours	100	3-coarse	jaccard	0.43	0.72
20250102_165241	ReviewCritique	20	4-fine	jaccard	0.5	0.7
20250102_165256	llm_generated_reviews_emnlp23_liang24	100	4-fine	jaccard	0.68	0.93
20250102_165329	llm_generated_reviews_emnlp23_ours	100	4-fine	jaccard	0.66	0.92
20250102_165409	llm_generated_reviews_iclr24_liang24	100	4-fine	jaccard	0.64	0.85
20250102_165453	llm_generated_reviews_iclr24_ours	100	4-fine	jaccard	0.63	0.82
